endpoint_family,component,required_entity,required_access,priority,note
/api/user/password,user,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/user/profile,user,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/user/profile,User Profile,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/user/profile,User Profile,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/user/update,user,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/v1/parental-control,Parental Control Legacy,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/v1/parental-control,Parental Control Legacy,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/{path},other,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/{path},other,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/metrics,other,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
